id,ident,type,name,lat,lng,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
26596,VNKT,medium_airport,Tribhuvan International Airport,27.6965999603,85.35910034179999,4390,AS,NP,NP-BA,Kathmandu,yes,VNKT,KTM,,http://www.tiairport.com.np/index.php,http://en.wikipedia.org/wiki/Tribhuvan_International_Airport,gaucharan
8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22,OC,NR,NR-14,Yaren District,yes,ANYN,INU,,,http://en.wikipedia.org/wiki/Nauru_International_Airport,ANAU
4974,NIUE,medium_airport,Niue International Airport,-19.079030990600586,-169.92559814453125,209,OC,NU,NU-U-A,Alofi,yes,NIUE,IUE,,,http://en.wikipedia.org/wiki/Niue_International_Airport,Hanan International Airport
4979,NTAA,medium_airport,"Faa'a International Airport",-17.5536994934,-149.606994629,5,OC,PF,PF-U-A,Papeete,yes,NTAA,PPT,,,"http://en.wikipedia.org/wiki/Faa'a_International_Airport",
4245,LFVP,medium_airport,St Pierre Airport,46.762901306152344,-56.173099517822266,27,NA,PM,PM-SP,Saint-Pierre,yes,LFVP,FSP,,,http://en.wikipedia.org/wiki/Saint-Pierre_Airport,
5501,PTRO,medium_airport,Babelthuap Airport,7.36731,134.544236,176,OC,PW,PW-004,Babelthuap Island,yes,PTRO,ROR,ROR,,http://en.wikipedia.org/wiki/Palau_International_Airport,
6089,SGAY,medium_airport,Juan De Ayolas Airport,-27.370554,-56.854064,223,SA,PY,PY-8,Ayolas,no,SGAY,AYO,,,https://en.wikipedia.org/wiki/Juan_de_Ayolas_Airport,
2905,FMEE,medium_airport,Roland Garros Airport,-20.887100219726562,55.51029968261719,66,AF,RE,RE-U-A,St Denis,yes,FMEE,RUN,,http://www.reunion.aeroport.fr/index.htm,http://en.wikipedia.org/wiki/Roland_Garros_Airport,Gillot Airport
3237,HRYR,medium_airport,Kigali International Airport,-1.9686299562499998,30.1394996643,4859,AF,RW,RW-01,Kigali,yes,HRYR,KGL,,,http://en.wikipedia.org/wiki/Kigali_International_Airport,Gregoire Kayibanda International Airport
3,AGGH,medium_airport,Honiara International Airport,-9.4280004501343,160.05499267578,28,OC,SB,SB-CT,Honiara,yes,AGGH,HIR,,,http://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field
2993,FSIA,medium_airport,Seychelles International Airport,-4.674339771270752,55.52180099487305,10,AF,SC,SC-20,Mahe Island,yes,FSIA,SEZ,,,http://en.wikipedia.org/wiki/Seychelles_International_Airport,
2877,FHAW,medium_airport,RAF Ascension Island,-7.9696,-14.3937,278,AF,SH,SH-AC,Ascension Island,no,FHAW,ASI,,http://www.raf.mod.uk/organisation/stations.cfm?selectStation=9DEB5257-FDEF-6850-8B1CFF5050616CC1#cgi.script_name#,http://en.wikipedia.org/wiki/Ascension_Island_Base,Wideawake Airfield
3095,GFLL,medium_airport,Lungi International Airport,8.616439819335938,-13.195500373840332,84,AF,SL,SL-N,Freetown,yes,GFLL,FNA,,http://www.freetownairport.com/,http://en.wikipedia.org/wiki/Lungi_International_Airport,
31899,HCMM,medium_airport,Aden Adde International Airport,2.0144400596618652,45.3046989440918,29,AF,SO,SO-BN,Mogadishu,yes,HCMM,MGQ,,,http://en.wikipedia.org/wiki/Aden_Adde_International_Airport,HCCM
6195,SMJP,medium_airport,Johan Adolf Pengel International Airport,5.4528298377999995,-55.1878013611,59,SA,SR,SR-PR,Zandery,yes,SMJP,PBM,,http://www.japi-airport.com,http://en.wikipedia.org/wiki/Johan_Adolf_Pengel_International_Airport,"Zanderij, JAP International Airport, JAPI Airport, JAPIA, ZY Airport"
2969,FPST,medium_airport,São Tomé International Airport,0.3781749904155731,6.7121500968933105,33,AF,ST,ST-S,São Tomé,yes,FPST,TMS,,,http://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_International_Airport,
2872,FDMS,medium_airport,Matsapha Airport,-26.52899932861328,31.3075008392334,2075,AF,SZ,SZ-MA,Manzini,yes,FDMS,MTS,,,http://en.wikipedia.org/wiki/Matsapha_Airport,
4626,MBGT,medium_airport,JAGS McCartney International Airport,21.444499969482422,-71.14230346679688,13,NA,TC,TC-GT,Cockburn Town,yes,MBGT,GDT,,,http://en.wikipedia.org/wiki/JAGS_McCartney_International_Airport,
